Elements,Time,Distribution
3800,216,CONSTANT
3800,21247,ASCENDING
3800,20826,DESCENDING
3800,580,ASHAPE
3800,598,VSHAPE
3900,544,UNIFORM
3900,220,CONSTANT
3900,22269,ASCENDING
3900,21891,DESCENDING
3900,584,ASHAPE
3900,597,VSHAPE
4000,570,UNIFORM
4000,229,CONSTANT
4000,23414,ASCENDING
4000,23090,DESCENDING
4000,608,ASHAPE
4000,619,VSHAPE
4100,587,UNIFORM
4100,233,CONSTANT
4100,24678,ASCENDING
4100,24147,DESCENDING
4100,670,ASHAPE
4100,713,VSHAPE
4200,768,UNIFORM
4200,312,CONSTANT
4200,25607,ASCENDING
4200,28230,DESCENDING
4200,662,ASHAPE
4200,656,VSHAPE
4300,620,UNIFORM
4300,246,CONSTANT
4300,26534,ASCENDING
4300,28768,DESCENDING
4300,1667,ASHAPE
4300,980,VSHAPE
4400,644,UNIFORM
4400,246,CONSTANT
4400,28532,ASCENDING
4400,27949,DESCENDING
4400,689,ASHAPE
4400,673,VSHAPE
4500,895,UNIFORM
4500,294,CONSTANT
4500,29345,ASCENDING
4500,29449,DESCENDING
4500,701,ASHAPE
4500,682,VSHAPE
4600,681,UNIFORM
4600,258,CONSTANT
4600,30752,ASCENDING
4600,33534,DESCENDING
4600,812,ASHAPE
4600,718,VSHAPE
4700,673,UNIFORM
4700,264,CONSTANT
4700,32240,ASCENDING
4700,32113,DESCENDING
4700,722,ASHAPE
4700,758,VSHAPE
4800,697,UNIFORM
4800,274,CONSTANT
4800,33454,ASCENDING
4800,33278,DESCENDING
4800,743,ASHAPE
4800,801,VSHAPE
4900,761,UNIFORM
4900,282,CONSTANT
4900,38471,ASCENDING
4900,35055,DESCENDING
4900,769,ASHAPE
4900,824,VSHAPE
5000,753,UNIFORM
5000,278,CONSTANT
5000,36584,ASCENDING
5000,36757,DESCENDING
5000,777,ASHAPE
5000,861,VSHAPE
5100,743,UNIFORM
5100,317,CONSTANT
5100,37896,ASCENDING
5100,37490,DESCENDING
5100,845,ASHAPE
5100,842,VSHAPE
5200,784,UNIFORM
5200,288,CONSTANT
5200,39112,ASCENDING
5200,39577,DESCENDING
5200,847,ASHAPE
5200,850,VSHAPE
5300,772,UNIFORM
5300,300,CONSTANT
5300,40769,ASCENDING
5300,40892,DESCENDING
5300,889,ASHAPE
5300,896,VSHAPE
5400,785,UNIFORM
5400,299,CONSTANT
5400,45656,ASCENDING
5400,42335,DESCENDING
5400,869,ASHAPE
5400,1045,VSHAPE
5500,802,UNIFORM
5500,322,CONSTANT
5500,44046,ASCENDING
5500,47270,DESCENDING
5500,894,ASHAPE
5500,963,VSHAPE
5600,831,UNIFORM
5600,315,CONSTANT
5600,45501,ASCENDING
5600,46099,DESCENDING
5600,913,ASHAPE
5600,924,VSHAPE
5700,864,UNIFORM
5700,324,CONSTANT
5700,50587,ASCENDING
5700,49375,DESCENDING
5700,901,ASHAPE
5700,903,VSHAPE
5800,845,UNIFORM
5800,324,CONSTANT
5800,48710,ASCENDING
5800,49003,DESCENDING
5800,983,ASHAPE
5800,930,VSHAPE
5900,869,UNIFORM
5900,375,CONSTANT
5900,50498,ASCENDING
5900,51757,DESCENDING
5900,1029,ASHAPE
5900,1083,VSHAPE
6000,934,UNIFORM
6000,338,CONSTANT
6000,56906,ASCENDING
6000,52927,DESCENDING
6000,1050,ASHAPE
6000,1013,VSHAPE
6100,890,UNIFORM
6100,342,CONSTANT
6100,54876,ASCENDING
6100,57730,DESCENDING
6100,1001,ASHAPE
6100,1043,VSHAPE
6200,1068,UNIFORM
6200,351,CONSTANT
6200,56361,ASCENDING
6200,56304,DESCENDING
6200,996,ASHAPE
6200,1084,VSHAPE
6300,929,UNIFORM
6300,394,CONSTANT
6300,58627,ASCENDING
6300,58257,DESCENDING
6300,997,ASHAPE
6300,1153,VSHAPE
6400,1232,UNIFORM
6400,631,CONSTANT
6400,69753,ASCENDING
6400,69730,DESCENDING
6400,1339,ASHAPE
6400,1373,VSHAPE
6500,1350,UNIFORM
6500,633,CONSTANT
6500,71833,ASCENDING
6500,64656,DESCENDING
6500,1036,ASHAPE
6500,1056,VSHAPE
6600,1212,UNIFORM
6600,414,CONSTANT
6600,65118,ASCENDING
6600,64776,DESCENDING
6600,1144,ASHAPE
6600,1090,VSHAPE
6700,1027,UNIFORM
6700,378,CONSTANT
6700,66206,ASCENDING
6700,66064,DESCENDING
6700,1088,ASHAPE
6700,1297,VSHAPE
6800,997,UNIFORM
6800,391,CONSTANT
6800,68645,ASCENDING
6800,67276,DESCENDING
6800,1163,ASHAPE
6800,1391,VSHAPE
6900,1072,UNIFORM
6900,391,CONSTANT
6900,72405,ASCENDING
6900,83441,DESCENDING
6900,2416,ASHAPE
6900,1496,VSHAPE
7000,1390,UNIFORM
7000,682,CONSTANT
7000,82573,ASCENDING
7000,74637,DESCENDING
7000,1192,ASHAPE
7000,1171,VSHAPE
7100,1207,UNIFORM
7100,473,CONSTANT
7100,74171,ASCENDING
7100,74929,DESCENDING
7100,1235,ASHAPE
7100,1216,VSHAPE
7200,1065,UNIFORM
7200,456,CONSTANT
