Elements,Time,Distribution
5900,107,CONSTANT
5900,213,ASCENDING
5900,176,DESCENDING
5900,202,ASHAPE
5900,193,VSHAPE
6000,261,UNIFORM
6000,108,CONSTANT
6000,217,ASCENDING
6000,178,DESCENDING
6000,203,ASHAPE
6000,197,VSHAPE
6100,260,UNIFORM
6100,114,CONSTANT
6100,225,ASCENDING
6100,186,DESCENDING
6100,211,ASHAPE
6100,247,VSHAPE
6200,274,UNIFORM
6200,115,CONSTANT
6200,300,ASCENDING
6200,309,DESCENDING
6200,285,ASHAPE
6200,216,VSHAPE
6300,277,UNIFORM
6300,115,CONSTANT
6300,241,ASCENDING
6300,189,DESCENDING
6300,204,ASHAPE
6300,195,VSHAPE
6400,369,UNIFORM
6400,151,CONSTANT
6400,267,ASCENDING
6400,204,DESCENDING
6400,235,ASHAPE
6400,223,VSHAPE
6500,250,UNIFORM
6500,117,CONSTANT
6500,235,ASCENDING
6500,193,DESCENDING
6500,223,ASHAPE
6500,213,VSHAPE
6600,254,UNIFORM
6600,120,CONSTANT
6600,239,ASCENDING
6600,196,DESCENDING
6600,225,ASHAPE
6600,216,VSHAPE
6700,310,UNIFORM
6700,123,CONSTANT
6700,247,ASCENDING
6700,202,DESCENDING
6700,250,ASHAPE
6700,689,VSHAPE
6800,261,UNIFORM
6800,121,CONSTANT
6800,249,ASCENDING
6800,201,DESCENDING
6800,231,ASHAPE
6800,226,VSHAPE
6900,428,UNIFORM
6900,194,CONSTANT
6900,412,ASCENDING
6900,336,DESCENDING
6900,352,ASHAPE
6900,616,VSHAPE
7000,268,UNIFORM
7000,130,CONSTANT
7000,270,ASCENDING
7000,220,DESCENDING
7000,257,ASHAPE
7000,243,VSHAPE
7100,341,UNIFORM
7100,175,CONSTANT
7100,372,ASCENDING
7100,250,DESCENDING
7100,243,ASHAPE
7100,232,VSHAPE
7200,277,UNIFORM
7200,132,CONSTANT
7200,262,ASCENDING
7200,252,DESCENDING
7200,248,ASHAPE
7200,236,VSHAPE
7300,280,UNIFORM
7300,130,CONSTANT
7300,263,ASCENDING
7300,216,DESCENDING
7300,248,ASHAPE
7300,251,VSHAPE
7400,284,UNIFORM
7400,129,CONSTANT
7400,267,ASCENDING
7400,253,DESCENDING
7400,252,ASHAPE
7400,240,VSHAPE
7500,289,UNIFORM
7500,132,CONSTANT
7500,379,ASCENDING
7500,316,DESCENDING
7500,373,ASHAPE
7500,308,VSHAPE
7600,292,UNIFORM
7600,137,CONSTANT
7600,274,ASCENDING
7600,226,DESCENDING
7600,260,ASHAPE
7600,248,VSHAPE
7700,296,UNIFORM
7700,139,CONSTANT
7700,273,ASCENDING
7700,224,DESCENDING
7700,260,ASHAPE
7700,248,VSHAPE
7800,298,UNIFORM
7800,139,CONSTANT
7800,279,ASCENDING
7800,231,DESCENDING
7800,291,ASHAPE
7800,254,VSHAPE
7900,304,UNIFORM
7900,142,CONSTANT
7900,285,ASCENDING
7900,234,DESCENDING
7900,271,ASHAPE
7900,243,VSHAPE
8000,308,UNIFORM
8000,140,CONSTANT
8000,285,ASCENDING
8000,234,DESCENDING
8000,271,ASHAPE
8000,300,VSHAPE
8100,309,UNIFORM
8100,130,CONSTANT
8100,287,ASCENDING
8100,237,DESCENDING
8100,274,ASHAPE
8100,260,VSHAPE
8200,356,UNIFORM
8200,150,CONSTANT
8200,295,ASCENDING
8200,243,DESCENDING
8200,280,ASHAPE
8200,303,VSHAPE
8300,318,UNIFORM
8300,146,CONSTANT
8300,297,ASCENDING
8300,244,DESCENDING
8300,281,ASHAPE
8300,268,VSHAPE
8400,323,UNIFORM
8400,146,CONSTANT
8400,300,ASCENDING
8400,245,DESCENDING
8400,283,ASHAPE
8400,269,VSHAPE
8500,334,UNIFORM
8500,137,CONSTANT
8500,304,ASCENDING
8500,250,DESCENDING
8500,274,ASHAPE
8500,274,VSHAPE
8600,328,UNIFORM
8600,138,CONSTANT
8600,304,ASCENDING
8600,250,DESCENDING
8600,288,ASHAPE
8600,274,VSHAPE
8700,363,UNIFORM
8700,152,CONSTANT
8700,311,ASCENDING
8700,257,DESCENDING
8700,359,ASHAPE
8700,369,VSHAPE
8800,339,UNIFORM
8800,152,CONSTANT
8800,312,ASCENDING
8800,269,DESCENDING
8800,296,ASHAPE
8800,271,VSHAPE
8900,340,UNIFORM
8900,153,CONSTANT
8900,354,ASCENDING
8900,257,DESCENDING
8900,297,ASHAPE
8900,273,VSHAPE
9000,347,UNIFORM
9000,158,CONSTANT
9000,322,ASCENDING
9000,263,DESCENDING
9000,303,ASHAPE
9000,289,VSHAPE
9100,354,UNIFORM
9100,159,CONSTANT
9100,325,ASCENDING
9100,267,DESCENDING
9100,307,ASHAPE
9100,596,VSHAPE
9200,485,UNIFORM
9200,160,CONSTANT
9200,329,ASCENDING
9200,270,DESCENDING
9200,310,ASHAPE
9200,296,VSHAPE
9300,355,UNIFORM
9300,149,CONSTANT
9300,334,ASCENDING
9300,261,DESCENDING
9300,300,ASHAPE
9300,286,VSHAPE
9400,539,UNIFORM
9400,182,CONSTANT
9400,334,ASCENDING
9400,262,DESCENDING
9400,304,ASHAPE
9400,298,VSHAPE
9500,365,UNIFORM
9500,161,CONSTANT
9500,335,ASCENDING
9500,265,DESCENDING
9500,332,ASHAPE
9500,308,VSHAPE
9600,369,UNIFORM
9600,154,CONSTANT
9600,354,ASCENDING
9600,277,DESCENDING
9600,310,ASHAPE
9600,329,VSHAPE
9700,371,UNIFORM
9700,166,CONSTANT
9700,342,ASCENDING
9700,280,DESCENDING
9700,313,ASHAPE
9700,336,VSHAPE
